Feature ID	Taxon	Confidence
dd5ce8d0b040693d540cb5aaf1b9fb3b	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Clostridium; s__ruminantium	0.9522375702846673
a4e4b480a75cf174cd8c27bd3081ff7f	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae	0.9999532162295295
90cee93df5f1c3a1c0463257ecf5f5dc	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae	0.9999549633801832
3e771eb0ce84441ec12891fe87de002c	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.9734747535427473
18a9028dff6d3759193ec26771449c1c	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae	0.9999190944866966
af21ea6f5497e1ea781ee13abfc18587	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Atopococcus; s__tabaci	0.7102231257554662
f360fa0d71b91b791e13fff6b620a696	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium	0.9995829067120655
b815668a1e362dc6a897d2895c351449	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__	0.7492737806842447
89444e6aab6c285a1a5450709f36c2e4	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Alkanindiges; s__illinoisensis	0.794189932338837
c6cdc71a1f7376db5a843ade152ed641	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales	0.9996407685721298
3eb29971e8c17cb638c3ef80ebc7767a	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium	0.9199376271338998
