"index","lable","cluster","hubs","degree"
57,"Rhodocytophaga",2,0,0.163366336633663
58,"Bergeyella",3,0,0.391089108910891
59,"Elizabethkingia",3,0,0.267326732673267
60,"Ornithobacterium",3,0,0.128712871287129
61,"Wautersiella",1,0,0.138613861386139
62,"Weeksella",2,0,0.143564356435644
63,"Flavobacterium",3,0,0.292079207920792
64,"Nonlabens",2,0,0.207920792079208
65,"Persicivirga",2,0,0.232673267326733
66,"Mucilaginibacter",2,0,0.0544554455445545
67,"Pedobacter",2,0,0.247524752475248
68,"Sphingobacterium",3,0,0.400990099009901
69,"Simkania",2,0,0.212871287128713
70,"Chloronema",1,0,0.168316831683168
71,"Mucispirillum",2,0,0.207920792079208
72,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",2,0,0.579207920792079
73,"Oceanobacillus",2,0,0.212871287128713
74,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",3,0,0.712871287128713
75,"Kurthia",2,0,0.222772277227723
76,"Staphylococcus",3,0,0.608910891089109
77,"Macrococcus",1,0,0.698019801980198
78,"Haloplasma",1,0,0.683168316831683
79,"Abiotrophia",2,0,0.178217821782178
80,"Alkalibacterium",2,0,0.217821782178218
81,"Atopococcus",1,1,0.757425742574257
82,"Atopostipes",1,0,0.712871287128713
83,"Granulicatella",1,0,0.722772277227723
84,"Lacticigenium",2,0,0.222772277227723
85,"Isobaculum",1,0,0.698019801980198
86,"Lactobacillus",3,0,0.257425742574257
87,"Pediococcus",3,0,0.262376237623762
88,"Weissella",1,1,0.737623762376238
89,"Lactococcus",4,0,0.143564356435644
90,"Streptococcus",3,0,0.311881188118812
91,"Guggenheimella",1,0,0.386138613861386
92,"Anaerococcus",1,1,0.732673267326733
93,"Gallicola",1,0,0.594059405940594
94,"GW-34",1,1,0.702970297029703
95,"Helcococcus",1,0,0.440594059405941
96,"ph2",1,1,0.712871287128713
97,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",1,0,0.371287128712871
98,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Bacteroides",1,0,0.202970297029703
99,"Butyrivibrio",1,0,0.608910891089109
100,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",1,0,0.613861386138614
101,"Coprococcus",2,0,0.168316831683168
102,"Defluviitalea",1,0,0.668316831683168
103,"Dorea",2,0,0.0247524752475248
104,"Lactonifactor",1,1,0.732673267326733
105,"Roseburia",1,1,0.737623762376238
106,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",1,1,0.742574257425743
107,"Syntrophococcus",4,0,0.163366336633663
108,"rc4-4",1,0,0.475247524752475
109,"[Clostridium]",1,0,0.693069306930693
110,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",1,0,0.628712871287129
111,"Peptostreptococcus",1,0,0.193069306930693
112,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",4,0,0.123762376237624
113,"Butyricicoccus",4,0,0.148514851485149
114,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",1,0,0.574257425742574
115,"Faecalibacterium",2,0,0.173267326732673
116,"Oscillospira",1,0,0.732673267326733
117,"Papillibacter",1,0,0.272277227722772
118,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus",3,0,0.356435643564356
119,"Sporobacter",1,0,0.717821782178218
120,"Anaerosinus",2,0,0.202970297029703
121,"Pectinatus",2,0,0.158415841584158
