"index","lable","cluster","hubs","degree"
53,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",2,0,0.0792079207920792
54,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",1,0,0.128712871287129
55,"Kurthia",2,0,0.0742574257425743
56,"Staphylococcus",6,0,0.133663366336634
57,"Macrococcus",1,1,0.178217821782178
58,"Haloplasma",2,0,0.0445544554455446
59,"Abiotrophia",2,0,0.0346534653465347
60,"Alkalibacterium",2,0,0.0346534653465347
61,"Atopococcus",1,1,0.178217821782178
62,"Atopostipes",1,0,0.143564356435644
63,"Granulicatella",1,0,0.128712871287129
64,"Lacticigenium",2,0,0.178217821782178
65,"Isobaculum",4,0,0.0594059405940594
66,"Lactobacillus",1,0,0.103960396039604
67,"Pediococcus",5,0,0.0940594059405941
68,"Weissella",5,0,0.113861386138614
69,"Lactococcus",1,0,0.0495049504950495
70,"Streptococcus",2,0,0.0198019801980198
71,"Guggenheimella",3,0,0.0297029702970297
72,"GW-34",2,0,0.153465346534653
73,"Helcococcus",2,0,0.0940594059405941
74,"ph2",2,0,0.202970297029703
75,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",1,0,0.193069306930693
76,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",1,0,0.0940594059405941
77,"Coprococcus",1,0,0.0841584158415842
78,"Defluviitalea",5,0,0.0940594059405941
79,"Dorea",1,0,0.108910891089109
80,"Lactonifactor",1,0,0.113861386138614
81,"Roseburia",1,0,0.143564356435644
82,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",1,0,0.168316831683168
83,"Syntrophococcus",2,0,0.0247524752475248
84,"rc4-4",2,0,0.0643564356435644
85,"[Clostridium]",1,0,0.123762376237624
86,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",1,0,0.108910891089109
87,"Peptostreptococcus",5,0,0.0643564356435644
88,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",5,0,0.099009900990099
89,"Butyricicoccus",1,0,0.163366336633663
90,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",1,0,0.153465346534653
91,"Faecalibacterium",1,0,0.133663366336634
92,"Oscillospira",5,0,0.0841584158415842
93,"Papillibacter",1,0,0.0693069306930693
94,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus",4,0,0.0841584158415842
95,"Sporobacter",5,0,0.099009900990099
96,"Anaerosinus",2,0,0.0198019801980198
97,"Selenomonas",1,0,0.0693069306930693
98,"Succinispira",1,0,0.0940594059405941
99,"Anaerorhabdus",2,0,0.0742574257425743
100,"Bulleidia",2,0,0.0346534653465347
101,"Brevundimonas",5,0,0.0148514851485149
102,"Caulobacter",2,0,0.0693069306930693
103,"Nitrobacteria",2,0,0.0247524752475248
104,"Salinarimonas",2,0,0.0445544554455446
105,"Ochrobactrum",5,0,0.153465346534653
106,"Rhizobium",6,0,0.0792079207920792
107,"Xanthobacter",5,0,0.0693069306930693
108,"Albidovulum",6,1,0.183168316831683
109,"Oceaniovalibus",3,0,0.0198019801980198
110,"Gluconacetobacter",5,0,0.0148514851485149
111,"Dongia",6,0,0.103960396039604
112,"Oceanibaculum",2,0,0.00495049504950495
113,"Porphyrobacter",6,1,0.143564356435644
114,"Novosphingobium",2,0,0.0495049504950495
115,"Sphingobium",5,0,0.0247524752475248
116,"Sphingomonas",6,0,0.138613861386139
117,"Bordetella",6,1,0.188118811881188
118,"Kerstersia",6,1,0.138613861386139
119,"Oligella",2,0,0.0346534653465347
120,"Pusillimonas",5,0,0.0445544554455446
121,"Acidovorax",1,0,0.00495049504950495
122,"Caldimonas",2,0,0.0396039603960396
123,"Pelomonas",2,0,0.00495049504950495
124,"Massilia",5,0,0.0396039603960396
