"index","lable","cluster","hubs","degree","ev","between","close"
55,"Lactonifactor",1,0,0.111111111111111,0.377999579007768,0.0132716049382716,0.881295077035404
56,"Kribbia",3,0,0.0505050505050505,0.180910874719006,0,0.733059636482183
57,"Helcococcus",3,0,0.141414141414141,0.476912318774176,0.0182098765432099,0.90928595174288
58,"Gulbenkiania",5,1,0.262626262626263,0.881853755090905,0.0361111111111111,1.01332460257431
59,"Sporobacter",1,0,0.0101010101010101,0.0284580629928785,0,0.585632738541273
60,"Isobaculum",3,0,0.0909090909090909,0.283769175650606,0.000925925925925926,0.804311556636174
61,"Aurantimonas",4,0,0.101010101010101,0.243316903713,0.00648148148148148,0.775941177424994
62,"Papillibacter",1,0,0.0303030303030303,0.0950162826248249,0,0.709211277742138
63,"Petrimonas",3,0,0.141414141414141,0.359719920897699,0.000925925925925926,0.823215985697751
64,"Snodgrassella",4,0,0.131313131313131,0.614683300234155,0,0.830696833262349
65,"Methylotenera",5,0,0.171717171717172,0.639229801750866,0.00432098765432099,0.927779967162441
66,"Serinibacter",3,0,0.0707070707070707,0.23209334292185,0.00648148148148148,0.784280665526386
67,"Caldimonas",2,0,0,0,0,0
68,"Aeriscardovia",3,0,0.0707070707070707,0.269317470100139,0.0037037037037037,0.79733598428027
69,"Barnesiella",1,0,0.171717171717172,0.435952207666334,0.00925925925925926,0.887443538773995
70,"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Pseudoalteromonadaceae_Vibrio",5,0,0.0202020202020202,0.065369869541588,0,0.640466305293266
71,"Sphingobacterium",5,0,0.0808080808080808,0.299270902061694,0.0141975308641975,0.809813627716881
72,"Ochrobactrum",4,0,0.131313131313131,0.58261968875827,0,0.800350622669815
73,"Pediococcus",3,0,0.101010101010101,0.34384762721818,0.000617283950617284,0.824433301329255
74,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",2,0,0,0,0,0
75,"Pelomonas",5,0,0.171717171717172,0.633980882220847,0.00246913580246914,0.921341558723913
76,"Haloplasma",3,0,0.0404040404040404,0.15275836425523,0,0.741571552481025
77,"Peredibacter",4,0,0.141414141414141,0.620682192216888,0.00401234567901235,0.842186936789406
78,"Succinivibrio",1,0,0.0505050505050505,0.129087801859214,0.000617283950617284,0.679832757968407
79,"Oscillospira",1,0,0.0404040404040404,0.118133459841361,0,0.70428929135588
80,"Campylobacter",3,0,0.0303030303030303,0.071018854410904,0.00123456790123457,0.675465567035632
81,"Sphingomonas",4,0,0.0505050505050505,0.170509635606313,0,0.726260900510484
82,"Mucilaginibacter",4,0,0.131313131313131,0.606032409886412,0,0.821678885064145
83,"YRC22",1,0,0.0606060606060606,0.1323534339153,0,0.712691463147088
84,"Deinobacterium",5,0,0.0808080808080808,0.287781281127596,0.0246913580246914,0.755184388621438
