"from","to","weight"
5,39,0.155176911693368
6,39,0.163265643877017
8,39,0.147731560686046
12,39,0.147835742040639
15,39,0.476526154674555
21,39,0.615413654198977
26,39,0.635253447613463
30,39,0.594079158874157
33,39,0.149817531183424
34,39,0.68762874325896
37,39,0.453723694242382
1,40,0.49069618749485
2,40,0.16072143841729
3,40,0.464851421186298
4,40,0.156510210201749
21,40,0.477483927150495
26,40,0.793776977931973
30,40,0.602089173217445
34,40,0.755448262411638
39,40,0.625985953806354
5,41,0.558687367147872
23,41,0.543153347744227
8,42,0.475926837280895
6,43,0.6091311411522
20,43,0.486593557987098
22,43,0.593191773317163
27,43,0.546704887570073
29,43,0.571339845952949
11,44,0.471750918627347
14,44,0.467317202546253
33,44,0.527877214036412
38,44,0.656576491297668
1,45,0.161218442148666
2,45,0.491627858021938
4,45,0.460670716605574
5,45,0.538632612177527
10,45,0.480779678519705
12,45,0.604118665570197
21,45,0.156965148288781
28,45,0.512261110611836
41,45,0.495947594295154
7,46,0.540469746727619
36,46,0.577171304453558
8,47,0.466962891742638
11,47,0.500679383249329
33,47,0.468283385922247
38,47,0.744394049046334
44,47,0.649343627686187
2,48,0.45829265277558
4,48,0.566438723050933
5,48,0.498979809889589
7,48,0.543617902838141
12,48,0.464051096776654
28,48,0.498333637956373
36,48,0.474282949066379
46,48,0.507155972649399
1,49,0.60910782551312
2,49,0.131825639906594
4,49,0.143279595229009
5,49,0.162967083391585
11,49,0.155966933876115
12,49,0.15823138863262
15,49,0.612416129218647
21,49,0.652097641217087
26,49,0.602692717811581
30,49,0.811833928416224
33,49,0.154792774557653
34,49,0.818835467358962
37,49,0.59591073995908
39,49,0.644549428630169
40,49,0.637094051724826
9,50,0.510654402265744
14,50,0.488092741312784
17,50,0.554886222523132
19,50,0.576857699838077
20,50,0.496422420220712
22,50,0.626906618811873
24,50,0.58187521797428
27,50,0.694555744636571
29,50,0.589894858741096
31,50,0.483273182842718
32,50,0.497877784666932
43,50,0.491157046031458
8,51,0.536440678497206
20,51,0.453593231928936
