"","Prevalence","TotalAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ac0d847bd95c37c4bb83a14745bbdc24",1,11,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"9d05f1920b95cc3a49c435cef4122333",1,11,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"7219a43ab421554e3dd641b11f5049d1",6,1585,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"18a9028dff6d3759193ec26771449c1c",29,6599,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"6c50dd3cf297cf30eaf754d064def0bb",20,4190,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"bb37db43a4cba4e7297f7ea91a9c16c9",18,3683,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"d9d95ad8effdf683d03ebb25c431ec3d",5,432,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"29c92dd089c4362c8266a7d0a44fc1c8",11,375,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"b291d5c47c13ff0cd41afbfe4bd6730b",1,374,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"df90c452220dbb9bda75e382f601a2d1",1,48,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"74a0eae2773b39aaac32ccb748298ff9",1,45,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"0e300b4593f4500862ceb4f3e82d7857",2,32,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"44b02cfc0f5062e2bbe5c7adb93ec984",2,369,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"96ba0f0ceed4c60050099061e81fe2c2",2,35,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"1eec90e3b67c356369b21ff8dd8c670b",2,72,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"7897c1edc0772f76e942f511e51f6da4",1,16,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"08b40a9bfd71dbf5e9c175e9712a60f9",1,81,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"4d6d4a8d2e64ea600afe2abf894c4800",1,18,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"e1481236cfd7f904a27a92e7ee8aef30",21,4863,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"f5efaab4944dca6092be8006004d7397",17,4453,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"ec66cc508688c21839c3367bce612ae4",15,1787,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"f0dc442036122227add19b59bd309512",11,1666,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"06afb5c32352351eb72cfe85f69bf9b8",10,1592,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"93654e5bf80c35b236bcc4014aec890d",11,1324,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"8033260d77832dbd1c557d664c7746c3",8,634,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"4591544130851a4b1a3437e35fd834fa",1,215,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"bff46f985d9d64dc1142ea43b2714267",2,169,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"e6c234d68505ab65436fb1ab9a68c3a0",1,73,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"14f453752ea565ec260491c5b249071c",1,42,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"6b940ef933c3e076b40b77f92e415c3e",1,32,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"cecf65c6f694440df2112969530bde9b",1,29,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"dee71227eb3c0bcbba9ab0afb7d3ab17",2,24,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"5391a1857c8728aaddd49e3f8bbfecd1",1,16,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"bc1f2ff5010a27bd3640124a926dc340",1,6,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"9558f502aa96e86a0d2ba04a55a44662",1,113,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"d4da6685892b8a3eed06ec63a629cd0b",5,34,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"a6c59a0e38bfc76b6bbb8e97d9f48e14",2,30,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"6cb56e3c5ba19029d6f356eaa22449e3",3,29,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"9045efca8df8e483a1ca6df93bc0d994",1,18,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"f55d54d4bfae57e02fa4b09140cc0160",1,17,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"6c04f5781d8928335a39161e871ef4a3",1,12,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"94d47c557049eabf95caec5075a553fb",1,4,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"9ec64ad97b8dc91d265454c259b34a48",1,3,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"aee49c21372edb5b8feb30dcd0cf922a",1,28,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"88c379f3b8f56db3ecebcd8169207010",4,827,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"f8477fed374934f724e0ad9ea845bbe6",6,817,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"a0a1374ae018983a7f0c5f9d8de40638",5,517,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"1a2fec0156f8efa7820fdee88182c617",6,448,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"af7c6bf0e46dd165d4442ec7665ea805",4,348,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"22c1b289ec7e750e2d9857b2ef180330",2,180,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"3bb2f1a78715e9f525d6c70030cfa550",2,127,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"31523563b94f138bb15ed61b41a46fd6",3,101,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"1d0be7492d93adda30ee292a2134f762",1,97,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"7b635d7c3e6e0af6fe0fbca7734bfca9",2,53,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"627684ff098232c767dd46d024fc0779",1,39,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"d171b8b96d7ff4a8aa266d4ed8506d3a",1,31,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"170089c0ec759a8c920a940d80debbae",1,54,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"645b6b9f20ec71e0ada03ba9c8d40541",1,90,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Cedecea","neteri"
"1263d40c4292297c7d2a4e8eff1b2fb8",1,16,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Cedecea","neteri"
"043f85782ea50d887d652a9279736435",1,7,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"ef19d674215c7256714ff7150f2757f1",1,18,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"cbd4da085e8a4dc3e15095b40f2e4d7a",1,82,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"5b10a886f8d0c4263a01dcd1aa64a218",1,33,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"3d30dab3e8ba95c6b1d441f64ebfba6c",1,21,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"7c14a1c1486492fc822e305f1d0be818",5,349,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea",NA
"a6271b7e2876b50dadd562122a58b14d",3,312,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"7bfe55c8465b9f33f73722c159d57119",3,261,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea",NA
"7e0dd0ee7df71e91c99d3b6dc420058b",1,47,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea",NA
"03f67ae6fb7a8407591ca1db039ac263",3,1237,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"04fe7c801e60570f2f567c048a89b1f6",1,15,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"97810be0b61df47cff152979ccdadacb",1,73,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"15f59fe271e52cda27f6618d7dfdd33a",1,46,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"d761da7ceb8c0aaf782dfa3918464c54",1,35,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"2f4a2b08eec8d8d5f66dc0d20552881f",77,78165,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"4982bbaf199abfd1057d12302f1c1321",11,2963,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"395dd4b53d6dba6722769160330db723",1,75,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"ba61d6d73023cb9753daaa119aa8fa45",1,48,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"0c87de8781a367f80ceb35999f416c86",1,2,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"a7870808e4d479a414c3fae1562d9d8b",12,647,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"c4ddd021c82e18bc34a7b10ab5d71e79",1,34,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"f9ea1ed960d25e3a30e4f5d1bb55ce7c",1,50,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"665e37c58fd99848f6c9df7ad3034be3",1,17,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"1099bbc5a04206a9152453eea35b8c9e",1,112,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"84bd4d93ea0474205b482cb22d6223e8",1,3,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"11a6e8c758890aff92bd41ac154f2ae0",1,87,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"76fe98ace4224467f237a1432f71fc36",5,214,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"74981f75d5e91e2debc6c47cfe8fe57d",2,67,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"de67dbbf453aed991d615397fb5e9686",1,71,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"6840b008d63455fb26484ec0cf635fd9",1,9,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"550d4a6be713f24a219be9f29c227634",1,21,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"14f45d3d5e6a0c3a63caacdba8d72dee",1,103,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"cf3cabc8aa5551f31eb7c5e87beb5c35",1,11,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"fbd1f4de49061f3f7db6443687bfec2e",3,332,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"8910970a2cc5ddfb7cfec0dfcf847ae3",1,34,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"c7dd9f215414791daee74e1cb5acc021",3,298,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"6e8b902c284ab8b88f9669e44cebdd76",3,261,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"7183243f72a8a6e616b4cd7ca3a5a357",1,32,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"4ddb556a5f5753b3efc7455dd158b8e8",1,140,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"396d5b664cc7496d9aa1f707972b2744",3,400,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"516446dedd3ebdfdabee35b5d86e5713",14,1525,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"dd6e1634651dcc22940e658cac9993dd",2,48,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"73e577be5269d2424d677242c68f81a9",1,43,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"8f09059582453a9f35871da21fc549cd",1,50,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"dc9c5f7c3842fbf6020df41f24ddae4d",1,258,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"577cf072bda913aef007600a8dc4af4b",2,692,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"86594ef9e0e703f214c98c4ca7175228",5,550,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"441f5ed67f5a5ff4ab04c20c4bc83bed",1,12,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"97d1f424a746d7761ab1f6c1f2de2b3b",1,28,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"efecb842d2721bd43465f27d38c5ab4d",1,20,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"598f57aead63bb20e8aedd389aff4f8c",1,3,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"7e93209c8c3c1fc52cea7beed1495cc3",1,18,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"21620a2f4231ee76ff68ba5f4d70a6a4",7,1876,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"e9779bac9bcc6b5520599dd1363f1486",1,23,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Enterovibrio","coralii"
"35a58e907bbbddd04bd88b0a45ba7e30",1,4,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Pseudoalteromonadaceae","Vibrio","mimicus"
"b6afe7e09770efc0b2321b542d53da40",1,200,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Pseudoalteromonadaceae","Vibrio","mimicus"
"74f26232a3532aa975d25fde046a3dc1",1,94,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Pseudoalteromonadaceae","Vibrio","mimicus"
"bde98ec1d83790960363047bb634a6c0",1,62,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Pseudoalteromonadaceae","Vibrio","mimicus"
"748175af4bfac0dbd76fdf213b7085ca",1,60,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Pseudoalteromonadaceae","Vibrio","mimicus"
"7debcf39bcfebfee1c6646a8829d769c",1,4,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Pseudoalteromonadaceae","Vibrio","mimicus"
"ac38e2dd7aa5f4d897d1a459d20007ec",1,23,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Pseudoalteromonadaceae","Vibrio","mimicus"
"9497afb94cdd8a1dd69604d154530703",1,34,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Pseudoalteromonadaceae","Vibrio","mimicus"
"92249098ef53e18a3ed7927ed9e1f487",1,21,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales",NA,NA,NA
"295e4e69664b7973eb0d701782af3b0a",1,16,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio",NA
"41a37d998940a4466f4746012d61b3a8",1,8,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Zobellella","taiwanensis"
"80cb1a011b957bd88f094cb4122f7430",2,33,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Aliagarivorans",NA
"300fa17c89997dadb954e888fc348278",1,3,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Pseudoalteromonadaceae","Pseudoalteromonas",NA
"041dfb816ee7f52dc8dc5e2e0e4b37c9",2,34,"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"1bfc73a9e24631111a367eed360cd522",1,6,"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"6d1f8ccd43f9353a3baec84a213f7253",3,52,"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ac63031715eca5001dc5eee5146d2420",1,10,"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"43dd99353cdfada450afc6bdea5f4df7",1,8,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",NA
"c3b1bcaf02a90ca47b6b0d5efead9c59",1,18,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","sharmana"
"692fe28f9e19f81d64ea3f492cc52d15",2,50,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",NA
"acd88ec7dfd81b4d966b6b71a1a9e340",1,7,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",NA
"305caab2df0559da25534cc3c9da5a1a",1,37,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",NA
"abddb9b2c3158897c75fa096869854ac",1,23,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",NA
"1d310b36eb1f2f96664effe7e826ffe2",1,160,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",NA
"0f5e982b3cc18680fb0f4f079e253fd7",1,5,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",NA
"b6e42f995ae60a48dc8737fef0cc93fe",1,45,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",NA
"b5173cff8f7f461c36b520b48a44f6e2",7,672,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",NA
"249e7e97e9a526bcf8ba840b6f4d622d",1,5,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",NA
"3cd52911420890fefd2099553411fdb4",9,1611,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",NA
"740ba29c6c30bce2c57d055dde9938ca",6,384,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",NA
"7f5b883158350c6ec3e629163d2d3ce5",2,109,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",NA
"6d7b3eefe7bbe2229a67ff4eeb707e20",1,3,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",NA
"07df1349235c2fdf45e279eb8b01598a",2,50,"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"107ea5834b2f3a7c00fef04851669daf",2,72,"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"71f5dc74e19c3b2764b116784a7831a5",2,84,"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"5b1b2a76912fe84bf034553e8a5049e0",1,102,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",NA
"07500292a5a7e09f3d4a1aac8626254c",2,65,"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"2f035c4115caad1ef70703115072d8de",1,12,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae",NA,NA
"dec8af078adc8849ba027e32dab868c4",23,1513,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Anaerobiospirillum","thomasii"
"4fff2397e0ea27fbb7ddccbc7f2489d6",1,84,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Anaerobiospirillum","thomasii"
"4c514ff25377e66b29def0ada14037d7",1,97,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Anaerobiospirillum","thomasii"
"a1d7db2eb229495c2c82b6983acf7e43",1,250,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrio",NA
"304c5c161b5b0a04c34e003c9e81faf1",1,65,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrio",NA
"cdf704d0dcf0f2d93b74d178f642e37a",1,16,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrio",NA
"a5b0e33c217770c9455eb2335b661638",1,85,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae",NA,NA
"f4509d0c3cb081d15e318a95547bf03c",4,294,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrio",NA
"bd5a77fa4aa8b1ec66222da8a9480fdf",1,26,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrio",NA
"85daf909250e8f08d0a7d17f2eb07e10",10,844,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrio",NA
"909d9223e63f10c8998f66141850c649",1,24,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Bibersteinia",NA
"8e9f3ecd1d5826b3b33a1f8f32696d25",2,23,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Bibersteinia",NA
"a1d03a2a9274595b57effbd0db94fc93",1,18,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Bibersteinia",NA
"434d4c8cf06a6b44e18341ddeb736796",1,5,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Bibersteinia",NA
"92db0405ed980168b7a80c897e01c16d",1,16,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Bibersteinia",NA
"bb8d7897c77bedf07e7d6c6e510effc0",2,71,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Bibersteinia",NA
"f7bfe6ab790625b3e07eebf37c0e1b76",1,3,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",NA,NA
"e69280701540fbe408e40ecca654399c",1,5,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Nicoletella","semolina"
"5c46208765e3f18322151523fb63f658",7,77,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",NA,NA
"173852e560576200336ef50707a65474",5,151,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",NA,NA
"8132425cdc74200aec074a16dba3bafe",1,23,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",NA,NA
"fe052be107f32ec77df8c2db8b20a60b",2,10,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",NA,NA
"181001c5b8b95b3a9ce013860a684f49",1,24,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",NA,NA
"d9aca66543137640355efd41da457be8",2,108,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",NA,NA
