"","Prevalence","TotalAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"5b5c9a08302eb9f0e6aefc7f17577dff",2,34,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae",NA,NA
"547c90d843692cfcc5371fd807d846a3",1,41,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"ab1619a624b3a52af66100caa631f3f2",1,18,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Cytophaga",NA
"1e639f1f0fa57b3e06eab32a5cc3d209",1,13,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales",NA,NA,NA
"bd26a462b5439873a8280f91048e94fa",1,30,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae",NA,NA
"655fb200ea24ab053b6d8039113d7017",1,20,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae",NA,NA
"ec241539e9d1170ec4a6eb1ccc0348d6",1,88,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae",NA,NA
"ac8f3e4d44302f65905df725b1338a76",1,7,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae",NA,NA
"907b8303cdc11126120db5802d1fda2d",2,19,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Siphonobacter","aquaeclarae"
"0498542d7213ef1633f26712ddaf0e29",2,21,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Siphonobacter","aquaeclarae"
"491faf5cca8466bcd75495d5c9df95de",1,9,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"a307cb67e2a4c978574bc61d18e9b579",1,2,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Siphonobacter","aquaeclarae"
"8e733560dfe4e615184c15f0d6ada924",1,8,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Siphonobacter","aquaeclarae"
"054e422404838c0d9e2e2ff97ce5f006",1,96,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"2295bf9acbfa418fbcd3b30754f6148e",1,3,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"dd264cc250284200a90a5f37d491305b",2,54,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales",NA,NA,NA
"ba374aa67014e7680e52e319e2b99e70",1,17,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Dyadobacter",NA
"824b57731a38cc3f70ea36e8bfa187f1",1,13,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales",NA,NA,NA
"f359aa069d81fd2e257bb7493dae564e",1,5,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae",NA,NA
"863601daa4944674bd0f3d96330c3460",1,12,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales",NA,NA,NA
"7ae23924b988dc80c441f497c1fe098f",1,26,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma",NA
"426a3193a76395ca8053f8ab85297001",1,65,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales",NA,NA,NA
"646ca263e20fc0c5c3a268bba1f44b7a",1,6,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"fb720f4608a6a0c2d166abd47d8bf649",1,22,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Rudanella",NA
"8937cf1848b23974e99bb3a24a0cf73f",1,11,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Rudanella",NA
"f9431b22179dd2843d2d6ea2d6da8809",1,14,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"847a55e6ea77c75b036288ddffdd49bf",4,107,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"de436e03757ed4e2b0f53cd5fb8479db",2,118,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"a45f713e1c8e843e7ba592691ba1dc5a",1,28,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"251dd817532f8aad8e6134c877d61094",1,2,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"6aca18e7f5ea9737b1b561e4daf36ab3",1,52,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"0d5011fcc964027b669342e43feaa1dd",1,74,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"f6eb34ce4d834edf73da0946bcab668b",1,28,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"59bda8e0ebc4124ea460a2da0ee578dd",1,38,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"4a603293725249810c9a7ba7a9623287",1,29,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"403457325464c3a93901d24c050e3a80",1,7,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"2766f704819d35f2e659e1c5184f0d76",2,21,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"1467c791ae0fca6f6dc52a78424a72e6",1,5,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"c225229f07eac9261c24417157c97135",1,5,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"e30919d51a9940804d5f9ebea472302b",1,6,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Coccinistipes","vermicola"
"ca5ff6dbc8cabaf798201aa2247d6406",2,17,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae",NA,NA
"3ccf2e1b2da93b34d7f6dbc0ce39daba",1,6,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Lishizhenia","caseinilytica"
"4f9ad8acccdde8fa47a2d067bc81ee08",1,9,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Lishizhenia","caseinilytica"
