"from","to","weight"
4,41,0.607503961459294
7,42,0.457208109879521
20,42,0.490615475123479
25,42,0.526970223412941
26,42,0.54578051442287
31,42,0.705938896282857
35,42,0.859267310543177
37,42,0.490855720517641
38,42,0.515877133437735
39,42,0.774088112326337
7,43,0.555043321634392
8,43,0.523675260153911
9,43,0.48679544508963
18,43,0.512626712017597
26,43,0.520266590299158
28,43,0.562083323183072
40,43,0.534136196776754
18,44,0.623621351871827
29,44,0.457275789413192
31,44,0.528891251276293
7,45,0.465912099119545
20,45,0.530711626940402
25,45,0.485278073494016
26,45,0.621552924427429
31,45,0.588737412210843
35,45,0.765934305720775
37,45,0.512754396196176
38,45,0.526985693406909
39,45,0.74505991564572
40,45,0.493320061733106
42,45,0.842644558898117
17,46,0.462515923177814
18,46,0.562354294584769
31,46,0.557241636780825
35,46,0.489224899731186
36,46,0.482518613985806
39,46,0.503673717853157
42,46,0.454647560378868
44,46,0.471717660876636
3,47,0.493264132780741
11,47,0.457049568668828
21,47,0.665566655469048
27,47,0.591974085106759
29,47,0.558951846218241
30,47,0.576781546039782
13,48,0.536368460027975
16,48,0.54898530173593
8,49,0.467239750719897
20,49,0.644798561742939
25,49,0.664137391752519
26,49,0.481528034090358
28,49,0.464059596972568
31,49,0.562925002306471
35,49,0.67149908763616
37,49,0.459357298663213
38,49,0.685718863226991
39,49,0.703791156850914
40,49,0.478889174992631
42,49,0.641882175871253
45,49,0.661425830571013
46,49,0.456061234086665
7,50,0.452496082389799
20,50,0.693779930893314
24,50,0.486977760474292
25,50,0.631028463785472
26,50,0.561367058981058
31,50,0.532210226194787
35,50,0.672942577143042
37,50,0.518153709093457
38,50,0.699069058503745
39,50,0.582594862033435
42,50,0.703479617383986
45,50,0.70432843763092
49,50,0.650176033336873
12,51,0.828738373997819
18,52,0.687384035172374
31,52,0.576166473847924
36,52,0.479722634790624
44,52,0.668181074885593
46,52,0.558629853896618
7,53,0.691059808736117
9,53,0.580401448038766
26,53,0.608958597664246
40,53,0.481194358942178
43,53,0.663343343408472
48,53,0.460014317912594
7,54,0.5088109028492
20,54,0.631266351001103
24,54,0.469558030307499
25,54,0.565513103349065
26,54,0.554484895544345
31,54,0.474228388171027
35,54,0.604882036805863
38,54,0.657252511343268
39,54,0.585263759282162
42,54,0.61359279253881
45,54,0.628463068320116
